,nombres,edades,generos,ciudades,hijos,mascotas,vehiculos,salario
89,persona_89,43,F,Zipa,2,1,1,1560
90,persona_90,31,F,Chía,2,3,0,2089
91,persona_91,39,M,Chía,2,1,1,6912
92,persona_92,27,F,Tenjo,3,3,0,943
93,persona_93,48,M,Cajica,3,5,2,1543
94,persona_94,63,F,Zipa,2,1,1,1126
95,persona_95,20,M,Cajica,1,2,0,1512
96,persona_96,55,M,Zipa,0,3,2,5633
97,persona_97,26,F,Zipa,2,1,0,6247
98,persona_98,27,M,Zipa,3,1,1,6483
99,persona_99,55,M,Tenjo,0,1,0,1856
100,persona_100,63,M,Bogotá,0,5,2,3926
101,persona_101,26,F,Zipa,1,2,2,4380
102,persona_102,65,M,Cajica,3,3,2,2695
103,persona_103,47,F,Cajica,0,3,2,4059
104,persona_104,41,F,Zipa,2,2,2,6718
105,persona_105,23,F,Cajica,0,0,0,3890
106,persona_106,51,F,Tenjo,3,5,1,5278
107,persona_107,33,F,Chía,2,2,1,4773
108,persona_108,39,F,Tenjo,0,2,0,3701
109,persona_109,46,F,Zipa,2,3,1,2290
110,persona_110,63,M,Chía,1,3,2,4725
111,persona_111,45,F,Chía,2,2,2,1825
112,persona_112,58,M,Tenjo,0,2,0,5914
113,persona_113,56,F,Tenjo,0,4,2,2897
114,persona_114,65,M,Cajica,1,3,1,3352
115,persona_115,45,F,Tenjo,3,3,0,1415
116,persona_116,46,M,Cajica,0,0,2,3168
117,persona_117,64,F,Chía,1,1,2,3195
118,persona_118,44,M,Cajica,2,0,2,2416
119,persona_119,60,M,Bogotá,2,4,2,6862
120,persona_120,23,F,Bogotá,3,4,1,5504
121,persona_121,41,M,Zipa,0,2,1,5378
122,persona_122,50,F,Tenjo,3,3,2,1658
123,persona_123,67,M,Zipa,3,3,2,1188
124,persona_124,43,M,Cajica,2,1,2,5484
125,persona_125,36,F,Cajica,1,1,1,2943
126,persona_126,31,M,Chía,3,5,0,2287
127,persona_127,52,M,Bogotá,0,5,2,1101
128,persona_128,33,M,Chía,1,3,2,4051
129,persona_129,28,F,Zipa,1,3,1,4683
130,persona_130,52,F,Chía,1,1,1,4576
131,persona_131,31,M,Chía,3,1,2,1284
132,persona_132,25,M,Chía,1,5,0,2652
133,persona_133,30,F,Bogotá,2,2,1,6221
134,persona_134,23,M,Cajica,3,0,1,5191
135,persona_135,56,M,Bogotá,0,2,1,6020
136,persona_136,32,F,Tenjo,3,3,0,1604
137,persona_137,54,F,Bogotá,2,2,1,1031
138,persona_138,53,F,Tenjo,1,2,0,5095
139,persona_139,53,F,Chía,3,4,2,5857
140,persona_140,28,M,Zipa,0,0,0,3490
141,persona_141,67,M,Cajica,1,4,2,1083
142,persona_142,30,M,Tenjo,2,2,2,2778
143,persona_143,29,F,Bogotá,1,0,2,5733
144,persona_144,26,M,Tenjo,1,0,2,3424
145,persona_145,37,M,Cajica,2,4,2,5801
146,persona_146,60,F,Bogotá,2,3,2,4375
147,persona_147,57,F,Cajica,1,0,1,2312
148,persona_148,53,M,Bogotá,3,3,2,3011
149,persona_149,24,M,Cajica,1,3,1,6182
150,persona_150,29,M,Chía,0,5,2,6100
151,persona_151,62,F,Cajica,0,2,2,1128
152,persona_152,26,M,Bogotá,1,0,1,4687
153,persona_153,36,M,Zipa,2,3,1,6581
154,persona_154,48,F,Tenjo,3,5,1,3325
155,persona_155,62,F,Tenjo,1,2,0,2702
156,persona_156,57,M,Tenjo,0,3,1,2876
157,persona_157,50,M,Cajica,1,1,2,6091
158,persona_158,54,M,Tenjo,2,5,2,4357
159,persona_159,65,M,Cajica,1,2,2,6953
160,persona_160,40,M,Chía,0,3,1,6631
161,persona_161,49,M,Bogotá,1,1,2,1325
162,persona_162,49,F,Bogotá,0,5,0,2756
163,persona_163,32,F,Chía,1,0,1,2035
164,persona_164,66,F,Zipa,1,3,1,5755
165,persona_165,29,F,Bogotá,0,0,0,6036
166,persona_166,44,M,Zipa,3,1,0,2912
167,persona_167,43,F,Zipa,3,0,0,3825
168,persona_168,25,F,Bogotá,0,0,2,2925
169,persona_169,32,M,Tenjo,0,2,0,2668
170,persona_170,51,F,Tenjo,1,4,2,2836
171,persona_171,28,F,Cajica,3,5,2,5911
172,persona_172,70,M,Chía,1,5,2,3662
173,persona_173,65,F,Cajica,2,2,0,5898
174,persona_174,37,M,Bogotá,3,5,0,4651
175,persona_175,53,M,Chía,3,5,2,6616
176,persona_176,68,M,Cajica,2,1,1,6495
177,persona_177,30,M,Tenjo,3,2,0,6494
178,persona_178,70,M,Zipa,3,0,0,3363
179,persona_179,44,F,Zipa,0,1,0,4269
180,persona_180,65,M,Zipa,2,2,0,2534
181,persona_181,31,F,Tenjo,1,4,1,2172
182,persona_182,28,F,Zipa,0,3,2,3719
183,persona_183,65,F,Bogotá,2,0,2,4561
184,persona_184,48,F,Tenjo,2,2,0,6956
185,persona_185,45,F,Chía,3,2,1,6885
186,persona_186,55,F,Chía,3,4,1,2212
187,persona_187,58,F,Bogotá,0,0,1,3314
188,persona_188,43,M,Cajica,2,4,0,1092
189,persona_189,62,F,Zipa,2,5,0,4279
190,persona_190,59,M,Chía,3,4,2,4191
191,persona_191,39,F,Zipa,1,4,0,3389
192,persona_192,56,M,Cajica,2,1,2,2609
193,persona_193,39,M,Chía,3,3,1,4345
194,persona_194,28,M,Tenjo,1,3,2,6200
195,persona_195,59,F,Chía,2,5,1,5175
196,persona_196,35,M,Cajica,1,5,0,6279
197,persona_197,39,M,Zipa,1,1,2,4300
198,persona_198,54,M,Bogotá,3,2,0,4804
199,persona_199,47,M,Bogotá,3,3,1,903
200,persona_200,26,M,Cajica,2,1,1,1846
201,persona_201,33,M,Cajica,1,1,2,1199
202,persona_202,30,F,Zipa,0,0,1,5156
203,persona_203,62,F,Bogotá,0,1,2,5611
204,persona_204,23,M,Zipa,1,1,0,1883
205,persona_205,20,M,Zipa,0,1,1,1937
206,persona_206,54,F,Cajica,1,4,2,3070
207,persona_207,45,F,Cajica,1,0,1,5259
208,persona_208,43,F,Bogotá,2,5,2,4528
209,persona_209,46,F,Tenjo,3,4,0,2739
210,persona_210,34,M,Tenjo,1,0,2,4288
211,persona_211,64,M,Tenjo,0,2,0,5818
212,persona_212,67,M,Chía,3,5,0,5453
213,persona_213,35,F,Chía,1,3,0,2059
214,persona_214,41,M,Zipa,0,4,1,6451
215,persona_215,44,F,Cajica,2,4,0,2533
216,persona_216,43,M,Bogotá,0,0,1,3653
217,persona_217,67,M,Chía,1,1,0,4530
218,persona_218,64,M,Chía,2,5,1,3694
219,persona_219,37,M,Bogotá,0,0,1,4651
220,persona_220,44,M,Bogotá,0,3,2,4878
221,persona_221,20,F,Cajica,0,3,0,3922
222,persona_222,20,M,Bogotá,1,3,1,5530
223,persona_223,39,M,Cajica,3,2,2,3444
224,persona_224,51,F,Bogotá,1,4,0,3574
225,persona_225,55,F,Bogotá,1,3,0,2067
226,persona_226,49,F,Tenjo,0,0,2,4351
227,persona_227,42,F,Chía,3,1,0,4306
228,persona_228,23,M,Cajica,2,0,0,3695
229,persona_229,48,M,Tenjo,1,3,2,6397
230,persona_230,67,M,Cajica,1,3,2,4671
231,persona_231,47,M,Cajica,1,5,0,2849
232,persona_232,46,F,Chía,0,2,0,1596
233,persona_233,57,F,Cajica,0,0,2,2256
234,persona_234,25,M,Zipa,3,3,1,4325
235,persona_235,45,F,Chía,2,1,1,6093
236,persona_236,49,F,Cajica,3,4,2,5871
237,persona_237,55,F,Chía,3,0,0,5214
238,persona_238,35,F,Cajica,3,4,2,900
239,persona_239,59,M,Tenjo,3,2,1,4949
240,persona_240,59,F,Tenjo,2,0,1,4653
241,persona_241,24,M,Cajica,1,5,1,5281
242,persona_242,22,M,Cajica,3,5,2,926
243,persona_243,46,M,Cajica,2,2,1,1519
244,persona_244,42,M,Cajica,1,0,1,5534
245,persona_245,20,M,Bogotá,0,0,2,4393
246,persona_246,53,M,Cajica,2,4,1,3226
247,persona_247,51,M,Zipa,3,3,2,6244
248,persona_248,32,M,Chía,1,5,2,3386
249,persona_249,59,F,Zipa,3,3,0,6500
250,persona_250,36,M,Zipa,0,0,0,1027
251,persona_251,32,F,Chía,2,4,2,6508
252,persona_252,66,F,Zipa,0,0,0,1478
253,persona_253,41,F,Zipa,0,3,1,3221
254,persona_254,32,F,Chía,1,5,0,5165
255,persona_255,49,F,Bogotá,1,0,0,4487
256,persona_256,56,F,Cajica,3,5,0,3317
257,persona_257,29,M,Bogotá,2,0,2,6128
258,persona_258,33,F,Bogotá,2,1,0,3470
259,persona_259,37,F,Cajica,2,5,0,6089
260,persona_260,41,F,Bogotá,3,4,0,6246
261,persona_261,57,M,Tenjo,2,5,1,5580
262,persona_262,34,M,Chía,0,4,2,1824
263,persona_263,69,F,Chía,1,1,1,2189
264,persona_264,36,M,Chía,0,5,0,5976
265,persona_265,57,F,Tenjo,0,3,2,2178
266,persona_266,40,F,Cajica,2,4,0,4242
267,persona_267,27,M,Chía,0,2,2,3140
268,persona_268,66,M,Chía,0,3,0,5489
269,persona_269,31,F,Zipa,3,1,1,6680
270,persona_270,51,F,Bogotá,1,0,1,1847
271,persona_271,68,M,Bogotá,0,3,2,2568
272,persona_272,61,F,Bogotá,3,1,2,4964
273,persona_273,25,M,Cajica,2,1,0,5431
274,persona_274,38,F,Bogotá,1,4,0,5834
275,persona_275,33,F,Chía,0,2,1,5919
276,persona_276,27,M,Cajica,1,3,0,2023
277,persona_277,40,F,Tenjo,1,3,2,3212
278,persona_278,66,F,Tenjo,0,2,2,5048
279,persona_279,21,M,Chía,2,5,1,6165
280,persona_280,32,F,Bogotá,3,2,1,4278
281,persona_281,27,F,Chía,1,2,2,1164
282,persona_282,61,F,Bogotá,0,5,0,4885
283,persona_283,70,F,Zipa,1,2,0,3649
284,persona_284,29,M,Zipa,2,4,0,3874
285,persona_285,64,F,Cajica,2,2,2,1856
286,persona_286,66,M,Cajica,0,5,2,2815
287,persona_287,68,F,Zipa,3,1,0,5043
288,persona_288,26,F,Cajica,1,4,1,6726
289,persona_289,36,F,Tenjo,1,4,1,4571
290,persona_290,40,M,Cajica,3,2,2,3759
291,persona_291,37,M,Cajica,1,4,0,4157
292,persona_292,65,F,Chía,0,1,1,4530
293,persona_293,41,F,Bogotá,3,3,0,4024
294,persona_294,22,F,Bogotá,2,5,0,3777
295,persona_295,53,F,Bogotá,0,2,2,3231
296,persona_296,33,F,Zipa,2,3,0,1923
297,persona_297,31,F,Chía,3,4,0,3486
298,persona_298,42,M,Cajica,3,3,0,3580
299,persona_299,54,M,Tenjo,2,2,0,4608
300,persona_300,59,F,Zipa,2,0,0,2111
301,persona_301,36,F,Tenjo,1,0,2,5401
302,persona_302,30,F,Zipa,2,0,2,1080
303,persona_303,59,F,Cajica,3,1,1,5767
304,persona_304,27,M,Tenjo,2,4,0,2347
305,persona_305,70,F,Chía,2,5,2,5354
306,persona_306,44,F,Tenjo,2,2,0,5960
307,persona_307,23,F,Tenjo,1,0,0,2323
308,persona_308,52,F,Cajica,0,1,2,4476
309,persona_309,33,F,Bogotá,1,1,2,6102
310,persona_310,57,F,Chía,1,0,0,3163
311,persona_311,51,M,Chía,0,3,2,6474
312,persona_312,59,F,Cajica,3,2,1,6591
313,persona_313,64,M,Tenjo,2,3,1,1329
314,persona_314,70,M,Bogotá,3,5,1,1170
315,persona_315,62,M,Chía,2,1,1,4492
316,persona_316,40,F,Tenjo,0,5,2,4958
317,persona_317,50,M,Bogotá,1,0,1,3326
318,persona_318,38,M,Cajica,1,1,2,2982
319,persona_319,46,M,Bogotá,1,1,2,2212
320,persona_320,69,F,Cajica,2,2,1,6405
321,persona_321,43,M,Bogotá,1,0,2,2273
322,persona_322,52,M,Chía,3,5,0,6086
323,persona_323,22,F,Tenjo,3,1,1,6019
324,persona_324,25,F,Tenjo,1,0,0,6244
325,persona_325,22,M,Cajica,3,4,2,3588
326,persona_326,34,M,Chía,3,3,2,4245
327,persona_327,42,F,Chía,1,1,2,2870
328,persona_328,40,F,Tenjo,0,5,0,2073
329,persona_329,54,F,Tenjo,1,1,0,4450
330,persona_330,32,M,Zipa,3,5,1,2416
331,persona_331,69,F,Zipa,1,2,0,1547
332,persona_332,55,M,Cajica,2,4,2,4767
333,persona_333,60,F,Chía,2,1,1,2731
334,persona_334,41,F,Tenjo,0,2,1,4370
335,persona_335,42,M,Bogotá,2,4,1,5159
336,persona_336,48,M,Chía,3,4,2,5113
337,persona_337,70,F,Tenjo,2,5,1,4239
338,persona_338,26,M,Tenjo,3,4,0,1971
339,persona_339,20,M,Cajica,3,1,0,3615
340,persona_340,46,F,Bogotá,1,4,0,6270
341,persona_341,41,F,Bogotá,3,2,2,2357
342,persona_342,29,M,Tenjo,1,5,1,2586
343,persona_343,46,F,Zipa,0,5,2,6293
344,persona_344,70,M,Tenjo,0,3,2,5804
345,persona_345,69,F,Zipa,1,5,1,2582
346,persona_346,66,M,Zipa,0,1,2,6815
347,persona_347,48,F,Bogotá,1,3,2,3221
348,persona_348,65,F,Zipa,1,4,0,2055
349,persona_349,45,M,Chía,2,1,2,6465
350,persona_350,43,M,Chía,1,4,1,4212
351,persona_351,23,M,Zipa,1,5,0,6708
352,persona_352,45,F,Cajica,2,3,1,6189
353,persona_353,36,M,Zipa,0,0,0,4579
354,persona_354,30,M,Cajica,0,4,2,6298
355,persona_355,24,F,Tenjo,0,2,1,2391
356,persona_356,67,F,Tenjo,0,0,2,4795
357,persona_357,29,M,Tenjo,2,5,2,3060
358,persona_358,49,M,Chía,0,5,0,6819
359,persona_359,20,M,Chía,2,5,2,2749
360,persona_360,33,M,Cajica,1,1,0,1756
361,persona_361,42,F,Cajica,2,4,0,6440
362,persona_362,20,F,Cajica,2,2,1,3017
363,persona_363,35,F,Zipa,0,0,2,4683
364,persona_364,61,F,Cajica,0,0,1,4739
365,persona_365,53,M,Zipa,2,5,0,1529
366,persona_366,33,F,Chía,2,5,0,4956
367,persona_367,24,M,Chía,1,3,0,1964
368,persona_368,63,F,Cajica,3,2,1,5039
369,persona_369,61,M,Chía,2,3,0,6961
370,persona_370,45,F,Tenjo,0,1,1,1152
371,persona_371,60,M,Cajica,0,1,2,6053
372,persona_372,58,F,Tenjo,1,4,2,5837
373,persona_373,29,M,Chía,2,2,2,6964
374,persona_374,58,M,Tenjo,3,5,1,5922
375,persona_375,31,M,Bogotá,2,0,1,5231
376,persona_376,51,F,Cajica,3,1,2,5780
377,persona_377,37,M,Bogotá,1,0,0,1995
378,persona_378,59,F,Cajica,3,2,1,4807
379,persona_379,55,M,Tenjo,0,2,2,3606
380,persona_380,44,F,Cajica,3,3,2,6779
381,persona_381,43,M,Tenjo,0,3,0,2765
382,persona_382,44,F,Bogotá,3,0,2,3968
383,persona_383,55,F,Bogotá,0,2,1,929
384,persona_384,51,F,Cajica,0,3,0,4233
385,persona_385,27,M,Chía,0,1,0,4506
386,persona_386,23,F,Chía,3,0,0,3245
387,persona_387,63,F,Zipa,1,0,1,4762
388,persona_388,33,M,Cajica,2,5,1,3013
389,persona_389,62,F,Bogotá,3,1,2,3918
390,persona_390,20,F,Bogotá,1,1,1,2715
391,persona_391,35,M,Bogotá,3,4,2,3250
392,persona_392,42,F,Cajica,2,4,1,6382
393,persona_393,58,F,Zipa,0,3,2,4311
394,persona_394,59,M,Cajica,2,3,2,4287
395,persona_395,55,M,Tenjo,1,2,2,1455
396,persona_396,43,M,Tenjo,3,0,2,3902
397,persona_397,60,F,Zipa,2,2,1,5128
398,persona_398,21,M,Chía,1,4,2,3111
399,persona_399,41,M,Tenjo,2,3,0,5613
400,persona_400,58,F,Tenjo,2,1,1,2249
401,persona_401,65,M,Chía,3,4,2,2190
402,persona_402,27,F,Cajica,1,4,2,2256
403,persona_403,69,F,Zipa,3,1,1,4221
404,persona_404,29,F,Bogotá,1,3,0,4929
405,persona_405,64,M,Bogotá,2,5,1,3922
406,persona_406,29,M,Chía,1,2,1,6530
407,persona_407,31,M,Cajica,0,4,1,962
408,persona_408,39,F,Chía,0,1,0,6083
409,persona_409,29,M,Chía,2,0,1,1693
410,persona_410,43,M,Chía,0,3,2,3713
411,persona_411,46,F,Tenjo,1,1,0,5756
412,persona_412,40,F,Tenjo,3,5,2,6951
413,persona_413,52,F,Bogotá,2,3,2,3540
414,persona_414,53,M,Cajica,0,3,2,4479
415,persona_415,27,F,Cajica,3,1,1,4444
416,persona_416,61,M,Tenjo,0,1,0,3429
417,persona_417,28,M,Tenjo,2,3,0,923
418,persona_418,57,F,Cajica,0,0,0,1729
419,persona_419,69,F,Chía,2,5,1,3667
420,persona_420,62,M,Tenjo,3,1,2,3617
421,persona_421,57,F,Bogotá,1,2,0,6488
422,persona_422,38,M,Tenjo,1,3,0,3428
423,persona_423,24,M,Zipa,2,1,1,3122
424,persona_424,34,F,Chía,3,4,2,6419
425,persona_425,69,M,Zipa,0,4,1,4914
426,persona_426,24,M,Zipa,0,0,1,4787
427,persona_427,26,F,Zipa,2,5,2,2084
428,persona_428,30,F,Chía,1,5,0,1258
429,persona_429,35,M,Cajica,0,5,2,2245
430,persona_430,47,M,Cajica,2,3,1,5608
431,persona_431,30,M,Cajica,3,2,2,1013
432,persona_432,30,M,Zipa,3,1,2,1745
433,persona_433,54,F,Cajica,3,2,0,2717
434,persona_434,27,M,Chía,1,0,2,5284
435,persona_435,48,F,Bogotá,2,3,1,6779
436,persona_436,34,M,Zipa,3,2,1,3642
437,persona_437,35,F,Bogotá,1,3,0,5299
438,persona_438,25,F,Chía,1,5,1,5792
439,persona_439,50,F,Chía,0,2,1,2392
440,persona_440,27,M,Chía,2,4,0,4807
441,persona_441,66,M,Zipa,2,3,0,3860
442,persona_442,49,M,Bogotá,1,4,0,6065
443,persona_443,50,M,Chía,0,3,2,1887
444,persona_444,48,M,Cajica,0,2,1,3899
445,persona_445,55,M,Cajica,3,1,2,1244
446,persona_446,57,M,Chía,2,3,2,2863
447,persona_447,23,M,Chía,2,5,1,1310
448,persona_448,44,F,Tenjo,1,4,2,4102
449,persona_449,36,M,Bogotá,1,2,2,5567
450,persona_450,62,M,Bogotá,2,0,0,3722
451,persona_451,50,M,Zipa,3,5,2,4076
452,persona_452,21,F,Zipa,3,2,2,3790
453,persona_453,55,M,Tenjo,0,3,0,1965
454,persona_454,42,M,Zipa,1,0,2,1933
455,persona_455,64,F,Chía,2,4,0,1805
456,persona_456,28,M,Tenjo,1,2,1,6048
457,persona_457,68,M,Bogotá,2,3,1,2377
458,persona_458,41,M,Bogotá,3,0,0,6669
459,persona_459,48,F,Tenjo,0,4,1,4933
460,persona_460,53,M,Bogotá,0,2,0,6854
461,persona_461,42,F,Tenjo,0,5,1,5278
462,persona_462,23,F,Cajica,1,1,2,6761
463,persona_463,31,F,Bogotá,2,4,2,5594
464,persona_464,41,F,Bogotá,2,4,1,3363
465,persona_465,49,F,Tenjo,1,5,1,2600
466,persona_466,59,F,Zipa,1,5,0,1551
467,persona_467,48,F,Chía,1,0,0,4477
468,persona_468,29,F,Tenjo,0,3,0,6619
469,persona_469,32,F,Zipa,0,3,0,1937
470,persona_470,34,M,Cajica,2,5,2,6374
471,persona_471,30,F,Cajica,1,4,0,1192
472,persona_472,59,M,Cajica,0,1,1,3465
473,persona_473,57,F,Bogotá,1,2,1,3330
474,persona_474,24,F,Cajica,3,2,0,4907
475,persona_475,56,F,Chía,3,3,1,3333
476,persona_476,56,M,Cajica,3,1,1,2160
477,persona_477,49,F,Bogotá,1,4,2,6038
478,persona_478,63,M,Zipa,3,4,1,4288
479,persona_479,50,M,Bogotá,0,1,0,5185
480,persona_480,63,M,Bogotá,2,2,1,3176
481,persona_481,40,F,Tenjo,0,3,0,1646
482,persona_482,32,M,Zipa,1,0,0,5033
483,persona_483,52,M,Bogotá,1,0,1,2559
484,persona_484,43,F,Bogotá,2,1,0,5616
485,persona_485,20,F,Bogotá,3,5,2,2315
486,persona_486,38,F,Tenjo,2,5,0,3909
487,persona_487,47,F,Cajica,0,1,0,1624
488,persona_488,66,M,Cajica,0,1,0,3974
489,persona_489,21,F,Zipa,2,5,0,2912
490,persona_490,43,F,Bogotá,1,5,2,6734
491,persona_491,66,M,Zipa,3,1,0,2083
492,persona_492,42,F,Bogotá,0,4,2,6998
493,persona_493,40,F,Cajica,1,3,1,6994
494,persona_494,22,M,Zipa,1,3,1,1748
495,persona_495,47,M,Tenjo,1,4,1,2426
496,persona_496,55,M,Tenjo,1,3,1,6884
497,persona_497,61,F,Bogotá,0,5,2,3310
498,persona_498,32,F,Tenjo,3,1,0,4452
499,persona_499,46,M,Chía,1,1,1,4213
500,persona_500,51,F,Chía,3,3,0,3677
501,persona_501,31,F,Chía,0,1,1,3758
502,persona_502,45,F,Cajica,0,4,2,3218
503,persona_503,39,F,Bogotá,0,4,1,5681
504,persona_504,64,M,Cajica,2,0,2,2806
505,persona_505,43,M,Zipa,1,0,1,4538
506,persona_506,61,M,Cajica,1,1,0,4817
507,persona_507,53,F,Tenjo,2,4,1,4314
508,persona_508,28,M,Cajica,2,1,2,5778
509,persona_509,39,F,Bogotá,2,4,0,6501
510,persona_510,27,F,Cajica,2,2,0,2503
511,persona_511,70,F,Tenjo,1,2,1,2768
512,persona_512,59,F,Cajica,3,0,0,1884
513,persona_513,25,M,Zipa,1,0,0,952
514,persona_514,35,M,Cajica,3,4,1,1158
515,persona_515,37,F,Bogotá,0,0,0,2526
516,persona_516,45,F,Cajica,1,0,2,5266
517,persona_517,50,F,Zipa,2,5,1,6786
518,persona_518,69,M,Tenjo,2,3,1,5869
519,persona_519,33,F,Zipa,3,2,1,4034
520,persona_520,40,F,Cajica,0,2,1,3522
521,persona_521,51,M,Chía,3,2,0,2771
522,persona_522,65,M,Bogotá,1,4,2,4677
523,persona_523,49,M,Zipa,3,3,0,5607
524,persona_524,59,F,Bogotá,2,0,1,4230
525,persona_525,34,M,Chía,0,1,2,1656
526,persona_526,54,F,Chía,3,3,0,5098
527,persona_527,28,F,Chía,3,3,2,2969
528,persona_528,37,F,Tenjo,2,2,0,1200
529,persona_529,29,M,Cajica,1,2,0,1584
530,persona_530,58,M,Cajica,0,2,2,2106
531,persona_531,59,M,Chía,2,3,0,2038
532,persona_532,44,F,Cajica,2,3,1,1838
533,persona_533,26,F,Bogotá,3,4,2,4510
534,persona_534,48,M,Bogotá,2,4,0,1387
535,persona_535,60,F,Cajica,1,5,1,2347
536,persona_536,28,M,Tenjo,1,4,1,2130
537,persona_537,36,F,Cajica,1,4,0,4060
538,persona_538,38,M,Chía,0,0,1,2288
539,persona_539,45,F,Chía,2,1,1,5147
540,persona_540,63,M,Cajica,1,5,0,6121
541,persona_541,27,M,Cajica,1,3,1,2620
542,persona_542,27,M,Cajica,1,2,2,5612
543,persona_543,53,M,Bogotá,2,5,2,5107
544,persona_544,61,F,Bogotá,2,5,2,5111
545,persona_545,67,F,Cajica,3,4,2,1563
546,persona_546,66,M,Zipa,3,0,1,6117
547,persona_547,44,M,Cajica,3,1,0,5819
548,persona_548,68,F,Chía,1,0,1,4806
549,persona_549,66,F,Zipa,3,3,1,1644
550,persona_550,70,M,Zipa,1,1,2,6098
551,persona_551,36,F,Chía,0,5,1,3787
552,persona_552,62,M,Cajica,0,0,0,2652
553,persona_553,48,M,Zipa,0,2,0,1099
